1751378522304	GPS	59.38124	17.870218	36.807613
1751378523313	GPS	59.381214	17.870285	39.617012
1751378524312	GPS	59.381207	17.870354	43.898266
1751378525312	GPS	59.381207	17.870476	47.775314
1751378526312	GPS	59.381237	17.87061	46.219257
1751378528000	GPS	59.381237	17.870811	46.5591
1751378529000	GPS	59.381237	17.87094	46.02184
1751378530000	GPS	59.381233	17.871082	44.782738
1751378531000	GPS	59.38123	17.871244	44.495785
1751378532000	GPS	59.381233	17.871407	44.62939
1751378533000	GPS	59.381233	17.871574	45.32736
1751378534000	GPS	59.381226	17.871742	45.49645
1751378535000	GPS	59.381218	17.871916	45.48463
1751378536000	GPS	59.38121	17.872087	45.29507
1751378537000	GPS	59.381207	17.872252	44.936974
1751378538000	GPS	59.381203	17.872416	44.86994
1751378539000	GPS	59.381203	17.872576	44.863415
1751378540000	GPS	59.381203	17.87275	44.67028
1751378541000	GPS	59.381207	17.872911	43.98269
1751378542000	GPS	59.38121	17.873074	43.251953
1751378543000	GPS	59.381218	17.873241	42.303833
1751378544000	GPS	59.381226	17.873413	41.63671
1751378545000	GPS	59.381237	17.873587	41.24378
1751378546000	GPS	59.381245	17.873755	40.88727
1751378547000	GPS	59.381256	17.873909	40.748177
1751378548000	GPS	59.381268	17.874062	40.6306
1751378549000	GPS	59.38128	17.874214	40.405914
1751378550000	GPS	59.381294	17.874367	39.95231
1751378551000	GPS	59.38131	17.874527	39.91207
1751378552000	GPS	59.381325	17.874687	39.788822
1751378553000	GPS	59.381336	17.874847	39.68648
1751378554000	GPS	59.38135	17.875008	39.460793
1751378555000	GPS	59.381363	17.875162	39.392635
1751378556000	GPS	59.381374	17.875317	39.31784
1751378557000	GPS	59.381382	17.875467	39.102253
1751378558000	GPS	59.38139	17.875618	38.980328
1751378559000	GPS	59.381397	17.875778	39.065826
1751378560000	GPS	59.38141	17.875938	39.27835
1751378561000	GPS	59.38142	17.876097	39.308887
1751378562000	GPS	59.38144	17.87627	39.24675
1751378563000	GPS	59.38145	17.876444	38.92612
1751378564000	GPS	59.381466	17.876614	38.6237
1751378565000	GPS	59.381477	17.876768	38.89823
1751378566000	GPS	59.38149	17.876915	39.201084
1751378567000	GPS	59.3815	17.877062	39.12947
1751378568000	GPS	59.38151	17.877207	39.023438
1751378569000	GPS	59.381516	17.877352	38.940334
1751378570000	GPS	59.38151	17.877497	39.18821
1751378571000	GPS	59.381508	17.877625	38.81992
1751378572000	GPS	59.381504	17.877695	38.19636
1751378573000	GPS	59.381504	17.877699	37.964996
1751378574000	GPS	59.3815	17.877678	37.539516
1751378575000	GPS	59.3815	17.877638	37.942013
